	1	1	1	2	22	27	21	57	25	800,00	1100,00	3200,00	286,00	142,50	601,00	447,50
	2	2	0	1	24	36	21	55	19	1050,00	0,00	1950,00	187,00	302,00	481,50	381,00
	3	1	0	0	18	21	14	69	25	750,00	0,00	0,00	268,00	250,00	606,50	516,00
	4	1	1	0	23	31	33	56	24	700,00	2200,00	0,00	415,00	282,50	774,00	504,00
	5	0	2	0	14	30	31	58	26	0,00	3400,00	0,00	213,00	221,50	764,00	524,50
	6	1	1	3	19	43	34	40	19	750,00	2400,00	4850,00	232,00	360,50	704,00	355,00
	7	3	1	1	18	32	31	62	23	2050,00	2400,00	1450,00	247,00	269,50	854,00	391,00
	8	2	4	0	13	26	22	39	18	1000,00	4200,00	0,00	151,00	199,00	569,50	384,00
	9	1	3	1	25	40	33	54	23	450,00	4900,00	1150,00	425,00	312,00	640,50	448,50
	10	5	0	1	21	41	31	52	22	2900,00	0,00	1550,00	261,00	330,50	700,50	367,50
	11	4	4	2	23	34	28	61	24	2600,00	6400,00	1900,00	297,00	231,50	763,00	465,00
	12	0	2	1	22	39	32	76	32	0,00	3800,00	1650,00	392,00	335,00	947,50	602,50
	13	0	2	0	27	24	25	55	19	0,00	5000,00	0,00	384,00	187,00	568,00	385,00
	14	4	2	1	24	47	41	87	36	2700,00	1600,00	1150,00	385,00	355,00	1098,50	701,50
	15	5	2	2	27	54	38	85	37	3400,00	2200,00	4500,00	482,00	479,00	998,00	757,00
	16	1	2	0	22	54	31	64	28	500,00	4400,00	0,00	298,00	392,50	891,00	501,00
	17	2	3	1	33	26	38	95	38	1100,00	4000,00	1450,00	443,00	169,50	1224,00	766,50
	18	2	1	1	45	62	54	105	50	1600,00	800,00	950,00	776,00	411,50	1538,00	902,00
	19	5	2	3	29	59	55	117	53	2750,00	3200,00	4050,00	455,00	624,50	1569,00	1114,00
	20	10	10	8	63	71	68	123	60	6400,00	18600,00	10600,00	1000,00	423,50	1770,50	1190,50
	21	6	4	3	44	58	57	118	56	3650,00	7100,00	5050,00	422,00	438,00	1552,00	1148,50
	22	1	5	2	45	73	70	126	54	700,00	8600,00	2600,00	722,00	643,00	1669,50	1123,00
	23	2	2	2	53	64	61	123	53	1250,00	4000,00	3900,00	640,00	404,50	1428,00	1164,00
	24	7	3	2	39	72	69	112	55	3850,00	4500,00	2000,00	602,00	520,50	1508,00	1197,00
	25	2	1	3	43	57	59	125	54	1350,00	2300,00	5750,00	530,00	472,50	1574,00	996,50
	26	3	3	1	38	55	56	123	53	1300,00	2300,00	450,00	518,00	399,50	1594,50	1113,00
	27	5	5	2	34	52	51	113	47	2750,00	8800,00	2900,00	402,00	389,00	1565,00	880,00
	28	6	3	5	40	49	44	101	50	2750,00	6000,00	7550,00	667,00	381,00	1524,00	948,50
	29	1	3	2	38	46	55	107	49	650,00	4700,00	4700,00	670,00	395,50	1430,00	953,50
	30	3	3	1	33	61	56	119	53	1500,00	5800,00	2150,00	386,00	486,50	1312,00	1054,50
	31	4	3	2	53	76	56	130	57	2900,00	4200,00	2700,00	533,00	662,50	1644,00	1084,00
	32	2	4	2	61	65	61	116	56	950,00	4800,00	2100,00	879,00	408,50	1688,50	1061,00
	33	5	4	1	47	57	51	116	56	2350,00	5200,00	2250,00	614,00	365,50	1462,50	1148,00
	34	6	4	6	53	76	76	121	58	3200,00	7200,00	6400,00	853,00	584,50	1665,50	1122,00
	35	4	5	1	40	44	53	103	49	3000,00	7900,00	1350,00	615,00	324,50	1450,50	990,50
	36	0	4	0	44	64	63	123	53	0,00	4000,00	0,00	724,00	423,00	1602,50	1035,50
	37	1	3	0	34	48	38	107	44	600,00	4200,00	0,00	478,00	494,50	1082,00	865,00
	38	5	1	3	35	54	46	96	40	2800,00	2300,00	3950,00	482,00	552,00	1232,50	833,00
	39	3	3	1	19	46	39	89	40	1600,00	5600,00	2050,00	227,00	336,00	1204,00	783,00
	40	6	1	3	36	57	38	96	41	4000,00	1600,00	4950,00	557,00	428,50	1068,50	845,50
	41	3	4	1	33	49	43	95	38	1650,00	5500,00	1050,00	511,00	362,00	1060,50	732,00
	42	1	5	2	29	49	29	84	41	350,00	4500,00	2800,00	273,00	406,00	955,50	884,00
	43	3	2	1	35	44	42	97	39	1700,00	3400,00	2350,00	522,00	292,50	1280,50	874,50
	44	2	1	0	31	36	30	75	30	1150,00	1400,00	0,00	517,00	332,50	976,00	641,50
	45	3	2	1	21	46	29	62	28	2150,00	3900,00	450,00	265,00	280,00	672,00	594,00
	46	1	0	0	21	25	30	55	20	550,00	0,00	0,00	289,00	233,00	670,00	379,50
	47	2	0	3	19	23	35	61	21	1100,00	0,00	3650,00	225,00	203,00	733,00	403,50
	48	2	2	1	22	25	28	69	27	1050,00	2600,00	1750,00	386,00	143,00	742,50	531,00
	49	3	3	2	31	33	36	79	34	1700,00	4400,00	4100,00	446,00	252,00	908,00	687,50
	50	1	2	1	25	34	44	72	34	500,00	5000,00	2150,00	338,00	232,00	1016,50	700,00
	51	3	2	1	29	55	52	93	43	1350,00	3000,00	1150,00	344,00	288,50	1436,50	839,00
	52	3	1	0	19	27	31	59	27	1450,00	600,00	0,00	186,00	236,50	823,50	549,50

